Time Stamp,Round2-NonSol-J45_x,Round2-NonSol-J45_y,Round2-NonSol-J45_z
20240313_234002,-2.444,-10.26983,-1.064
20240313_234002,-2.444,-10.26983,-1.064
20240313_234002,-2.444,-10.26983,-1.064
20240313_234002,-2.444,-10.26983,-1.064
20240313_234002,-2.444,-10.26983,-1.064
20240313_234002,-2.444,-10.26983,-1.064
20240313_234002,-2.444,-10.26983,-1.064
20240313_234002,-2.444,-10.26983,-1.064
20240313_234002,-2.444,-10.26983,-1.064
20240313_234002,-2.444,-10.26983,-1.064
20240313_234002,-2.444,-10.26983,-1.064
20240313_234002,-2.444,-10.26983,-1.064
20240313_234002,-2.444,-10.26983,-1.064
20240313_234002,-2.444,-10.26983,-1.064
20240313_234002,-2.444,-10.26983,-1.064
20240313_234002,-2.444,-10.26983,-1.064
20240313_234002,-2.444,-10.26983,-1.064
20240313_234002,-2.444,-10.26983,-1.064
20240313_234003,-2.444,-10.26983,-1.064
20240313_234003,-2.444,-10.26983,-1.064
20240313_234003,-2.444,-10.26983,-1.064
20240313_234003,-2.444,-10.26983,-1.064
20240313_234003,-2.444,-10.26983,-1.064
20240313_234003,-2.444,-10.26983,-1.064
20240313_234003,-2.444,-10.26983,-1.064
20240313_234003,-2.444,-10.26983,-1.064
20240313_234003,-2.444,-10.26983,-1.064
20240313_234003,-2.444,-10.26983,-1.064
20240313_234003,-2.444,-10.26983,-1.064
20240313_234003,-2.444,-10.26983,-1.064
20240313_234003,-2.444,-10.26983,-1.064
20240313_234003,-2.444,-10.26983,-1.064
20240313_234003,-2.444,-10.26983,-1.064
20240313_234003,-2.444,-10.26983,-1.064
20240313_234003,-2.444,-10.26983,-1.064
20240313_234003,-2.444,-10.26983,-1.064
20240313_234003,-2.444,-10.26983,-1.064
20240313_234004,-2.444,-10.26983,-1.064
20240313_234004,-2.444,-10.26983,-1.064
20240313_234004,-2.444,-10.26983,-1.064
20240313_234004,-2.444,-10.26983,-1.064
20240313_234004,-2.444,-10.26983,-1.064
20240313_234004,-2.444,-10.26983,-1.064
20240313_234004,-2.444,-10.26983,-1.064
20240313_234004,-2.444,-10.26983,-1.064
20240313_234004,-2.444,-10.26983,-1.064
20240313_234004,-2.444,-10.26983,-1.064
20240313_234004,-2.444,-10.26983,-1.064
20240313_234004,-2.444,-10.26983,-1.064
20240313_234004,-2.444,-10.26983,-1.064
20240313_234004,-2.444,-10.26983,-1.064
20240313_234004,-2.444,-10.26983,-1.064
20240313_234004,-2.444,-10.26983,-1.064
20240313_234004,-2.444,-10.26983,-1.064
20240313_234004,-2.444,-10.26983,-1.064
20240313_234004,-2.444,-10.26983,-1.064
20240313_234004,-2.444,-10.26983,-1.064
20240313_234004,-2.444,-10.26983,-1.064
20240313_234005,-2.444,-10.26983,-1.064
20240313_234005,-2.444,-10.26983,-1.064
20240313_234005,-2.444,-10.26983,-1.064
20240313_234005,-2.444,-10.26983,-1.064
20240313_234005,-2.444,-10.26983,-1.064
20240313_234005,-2.444,-10.26983,-1.064
20240313_234005,-2.444,-10.26983,-1.064
20240313_234005,-2.444,-10.26983,-1.064
20240313_234005,-2.444,-10.26983,-1.064
20240313_234005,-2.444,-10.26983,-1.064
20240313_234005,-2.444,-10.26983,-1.064
20240313_234005,-2.444,-10.26983,-1.064
20240313_234005,-2.444,-10.26983,-1.064
20240313_234005,-2.444,-10.26983,-1.064
20240313_234005,-2.444,-10.26983,-1.064
20240313_234005,-2.444,-10.26983,-1.064
20240313_234005,-2.444,-10.26983,-1.064
20240313_234005,-2.444,-10.26983,-1.064
20240313_234005,-2.444,-10.26983,-1.064
20240313_234005,-2.444,-10.26983,-1.064
20240313_234005,-2.444,-10.26983,-1.064
20240313_234006,-2.444,-10.26983,-1.064
20240313_234006,-2.444,-10.26983,-1.064
20240313_234006,-2.444,-10.26983,-1.064
20240313_234006,-2.444,-10.26983,-1.064
20240313_234006,-2.444,-10.26983,-1.064
20240313_234006,-2.444,-10.26983,-1.064
20240313_234006,-2.444,-10.26983,-1.064
20240313_234006,-2.444,-10.26983,-1.064
20240313_234006,-2.444,-10.26983,-1.064
20240313_234006,-2.444,-10.26983,-1.064
20240313_234006,-2.444,-10.26983,-1.064
20240313_234006,-2.444,-10.26983,-1.064
20240313_234006,-2.444,-10.26983,-1.064
20240313_234006,-2.444,-10.26983,-1.064
20240313_234006,-2.444,-10.26983,-1.064
20240313_234006,-2.444,-10.26983,-1.064
20240313_234006,-2.444,-10.26983,-1.064
20240313_234006,-2.444,-10.26983,-1.064
20240313_234006,-2.444,-10.26983,-1.064
20240313_234006,-2.444,-10.26983,-1.064
20240313_234006,-2.444,-10.26983,-1.064
20240313_234006,-2.444,-10.26983,-1.064
20240313_234006,-2.444,-10.26983,-1.064
20240313_234006,-2.444,-10.26983,-1.064
20240313_234007,-2.444,-10.26983,-1.064
20240313_234007,-2.444,-10.26983,-1.064
20240313_234007,-2.444,-10.26983,-1.064
20240313_234007,-2.444,-10.26983,-1.064
20240313_234007,-2.444,-10.26983,-1.064
20240313_234007,-2.444,-10.26983,-1.064
20240313_234007,-2.444,-10.26983,-1.064
20240313_234007,-2.444,-10.26983,-1.064
20240313_234007,-2.444,-10.26983,-1.064
20240313_234007,-2.444,-10.26983,-1.064
20240313_234007,-2.444,-10.26983,-1.064
20240313_234007,-2.444,-10.26983,-1.064
20240313_234007,-2.444,-10.26983,-1.064
20240313_234007,-2.444,-10.26983,-1.064
20240313_234007,-2.444,-10.26983,-1.064
20240313_234007,-2.444,-10.26983,-1.064
20240313_234007,-2.444,-10.26983,-1.064
20240313_234007,-2.444,-10.26983,-1.064
20240313_234007,-2.444,-10.26983,-1.064
20240313_234007,-2.444,-10.26983,-1.064
20240313_234007,-2.444,-10.26983,-1.064
20240313_234007,-2.444,-10.26983,-1.064
20240313_234007,-2.444,-10.26983,-1.064
20240313_234007,-2.444,-10.26983,-1.064
20240313_234007,-2.444,-10.26983,-1.064
20240313_234007,-2.444,-10.26983,-1.064
20240313_234007,-2.444,-10.26983,-1.064
20240313_234007,-2.444,-10.26983,-1.064
20240313_234007,-2.444,-10.26983,-1.064
20240313_234007,-2.444,-10.26983,-1.064
20240313_234007,-2.444,-10.26983,-1.064
20240313_234007,-2.444,-10.26983,-1.064
20240313_234007,-2.444,-10.26983,-1.064
20240313_234008,-2.444,-10.26983,-1.064
20240313_234008,-2.444,-10.26983,-1.064
20240313_234008,-2.444,-10.26983,-1.064
20240313_234008,-2.444,-10.26983,-1.064
20240313_234008,-2.444,-10.26983,-1.064
20240313_234008,-2.444,-10.26983,-1.064
20240313_234008,-2.444,-10.26983,-1.064
20240313_234008,-2.444,-10.26983,-1.064
20240313_234008,-2.444,-10.26983,-1.064
20240313_234008,-2.444,-10.26983,-1.064
20240313_234008,-2.444,-10.26983,-1.064
20240313_234008,-2.444,-10.26983,-1.064
20240313_234008,-2.444,-10.26983,-1.064
20240313_234008,-2.444,-10.26983,-1.064
20240313_234008,-2.444,-10.26983,-1.064
20240313_234008,-2.444,-10.26983,-1.064
20240313_234008,-2.444,-10.26983,-1.064
20240313_234008,-2.444,-10.26983,-1.064
20240313_234008,-2.444,-10.26983,-1.064
20240313_234008,-2.444,-10.26983,-1.064
20240313_234008,-2.444,-10.26983,-1.064
20240313_234008,-2.444,-10.26983,-1.064
20240313_234008,-2.444,-10.26983,-1.064
20240313_234008,-2.444,-10.26983,-1.064
20240313_234008,-2.444,-10.26983,-1.064
20240313_234008,-2.444,-10.26983,-1.064
20240313_234008,-2.444,-10.26983,-1.064
20240313_234008,-2.444,-10.26983,-1.064
20240313_234008,-2.444,-10.26983,-1.064
20240313_234008,-2.444,-10.26983,-1.064
20240313_234008,-2.444,-10.26983,-1.064
20240313_234008,-2.444,-10.26983,-1.064
20240313_234008,-2.444,-10.26983,-1.064
20240313_234008,-2.444,-10.26983,-1.064
20240313_234008,-2.444,-10.26983,-1.064
20240313_234009,-2.444,-10.26983,-1.064
20240313_234009,-2.444,-10.26983,-1.064
20240313_234009,-2.444,-10.26983,-1.064
20240313_234009,-2.444,-10.26983,-1.064
20240313_234009,-2.444,-10.26983,-1.064
20240313_234009,-2.444,-10.26983,-1.064
20240313_234009,-2.444,-10.26983,-1.064
20240313_234009,-2.444,-10.26983,-1.064
20240313_234009,-2.444,-10.26983,-1.064
20240313_234009,-2.444,-10.26983,-1.064
20240313_234009,-2.444,-10.26983,-1.064
20240313_234009,-2.444,-10.26983,-1.064
20240313_234009,-2.444,-10.26983,-1.064
20240313_234009,-2.444,-10.26983,-1.064
20240313_234009,-2.444,-10.26983,-1.064
20240313_234009,-2.444,-10.26983,-1.064
20240313_234009,-2.444,-10.26983,-1.064
20240313_234009,-2.444,-10.26983,-1.064
20240313_234009,-2.444,-10.26983,-1.064
20240313_234009,-2.444,-10.26983,-1.064
20240313_234009,-2.444,-10.26983,-1.064
20240313_234009,-2.444,-10.26983,-1.064
20240313_234009,-2.444,-10.26983,-1.064
20240313_234009,-2.444,-10.26983,-1.064
20240313_234009,-2.444,-10.26983,-1.064
20240313_234009,-2.444,-10.26983,-1.064
20240313_234009,-2.444,-10.26983,-1.064
20240313_234009,-2.444,-10.26983,-1.064
20240313_234009,-2.444,-10.26983,-1.064
20240313_234009,-2.444,-10.26983,-1.064
20240313_234009,-2.444,-10.26983,-1.064
20240313_234009,-2.444,-10.26983,-1.064
20240313_234009,-2.444,-10.26983,-1.064
20240313_234009,-2.444,-10.26983,-1.064
20240313_234009,-2.444,-10.26983,-1.064
20240313_234010,-2.444,-10.26983,-1.064
20240313_234010,-2.444,-10.26983,-1.064
20240313_234010,-2.444,-10.26983,-1.064
20240313_234010,-2.444,-10.26983,-1.064
20240313_234010,-2.444,-10.26983,-1.064
20240313_234010,-2.444,-10.26983,-1.064
20240313_234010,-2.444,-10.26983,-1.064
20240313_234010,-2.444,-10.26983,-1.064
20240313_234010,-2.444,-10.26983,-1.064
20240313_234010,-2.444,-10.26983,-1.064
20240313_234010,-2.444,-10.26983,-1.064
20240313_234010,-2.444,-10.26983,-1.064
20240313_234010,-2.444,-10.26983,-1.064
20240313_234010,-2.444,-10.26983,-1.064
20240313_234010,-2.444,-10.26983,-1.064
20240313_234010,-2.444,-10.26983,-1.064
20240313_234010,-2.444,-10.26983,-1.064
20240313_234010,-2.444,-10.26983,-1.064
20240313_234010,-2.444,-10.26983,-1.064
20240313_234010,-2.444,-10.26983,-1.064
20240313_234010,-2.444,-10.26983,-1.064
20240313_234010,-2.444,-10.26983,-1.064
20240313_234010,-2.444,-10.26983,-1.064
20240313_234010,-2.444,-10.26983,-1.064
20240313_234010,-2.444,-10.26983,-1.064
20240313_234010,-2.444,-10.26983,-1.064
20240313_234010,-2.444,-10.26983,-1.064
20240313_234010,-2.444,-10.26983,-1.064
20240313_234010,-2.444,-10.26983,-1.064
20240313_234010,-2.444,-10.26983,-1.064
20240313_234010,-2.444,-10.26983,-1.064
20240313_234010,-2.444,-10.26983,-1.064
20240313_234010,-2.444,-10.26983,-1.064
20240313_234010,-2.444,-10.26983,-1.064
20240313_234011,-2.444,-10.26983,-1.064
20240313_234011,-2.444,-10.26983,-1.064
20240313_234011,-2.444,-10.26983,-1.064
20240313_234011,-2.444,-10.26983,-1.064
20240313_234011,-2.444,-10.26983,-1.064
20240313_234011,-2.444,-10.26983,-1.064
20240313_234011,-2.444,-10.26983,-1.064
20240313_234011,-2.444,-10.26983,-1.064
20240313_234011,-2.444,-10.26983,-1.064
20240313_234011,-2.444,-10.26983,-1.064
20240313_234011,-2.444,-10.26983,-1.064
20240313_234011,-2.444,-10.26983,-1.064
20240313_234011,-2.444,-10.26983,-1.064
20240313_234011,-2.444,-10.26983,-1.064
20240313_234011,-2.444,-10.26983,-1.064
20240313_234011,-2.444,-10.26983,-1.064
20240313_234011,-2.444,-10.26983,-1.064
20240313_234011,-2.444,-10.26983,-1.064
20240313_234011,-2.444,-10.26983,-1.064
20240313_234011,-2.444,-10.26983,-1.064
20240313_234011,-2.444,-10.26983,-1.064
20240313_234011,-2.444,-10.26983,-1.064
20240313_234011,-2.444,-10.26983,-1.064
20240313_234011,-2.444,-10.26983,-1.064
20240313_234011,-2.444,-10.26983,-1.064
20240313_234011,-2.444,-10.26983,-1.064
20240313_234011,-2.444,-10.26983,-1.064
20240313_234011,-2.444,-10.26983,-1.064
20240313_234011,-2.444,-10.26983,-1.064
20240313_234011,-2.444,-10.26983,-1.064
20240313_234011,-2.444,-10.26983,-1.064
20240313_234011,-2.444,-10.26983,-1.064
20240313_234011,-2.444,-10.26983,-1.064
20240313_234011,-2.444,-10.26983,-1.064
20240313_234011,-2.444,-10.26983,-1.064
20240313_234011,-2.444,-10.26983,-1.064
20240313_234012,-2.444,-10.26983,-1.064
20240313_234012,-2.444,-10.26983,-1.064
20240313_234012,-2.444,-10.26983,-1.064
20240313_234012,-2.444,-10.26983,-1.064
20240313_234012,-2.444,-10.26983,-1.064
20240313_234012,-2.444,-10.26983,-1.064
20240313_234012,-2.444,-10.26983,-1.064
20240313_234012,-2.444,-10.26983,-1.064
20240313_234012,-2.444,-10.26983,-1.064
20240313_234012,-2.444,-10.26983,-1.064
20240313_234012,-2.444,-10.26983,-1.064
20240313_234012,-2.444,-10.26983,-1.064
20240313_234012,-2.444,-10.26983,-1.064
20240313_234012,-2.444,-10.26983,-1.064
20240313_234012,-2.444,-10.26983,-1.064
20240313_234012,-2.444,-10.26983,-1.064
20240313_234012,-2.444,-10.26983,-1.064
20240313_234012,-2.444,-10.26983,-1.064
20240313_234012,-2.444,-10.26983,-1.064
20240313_234012,-2.444,-10.26983,-1.064
20240313_234012,-2.444,-10.26983,-1.064
20240313_234012,-2.444,-10.26983,-1.064
20240313_234012,-2.444,-10.26983,-1.064
20240313_234012,-2.444,-10.26983,-1.064
20240313_234012,-2.444,-10.26983,-1.064
20240313_234012,-2.444,-10.26983,-1.064
20240313_234012,-2.444,-10.26983,-1.064
20240313_234012,-2.444,-10.26983,-1.064
20240313_234012,-2.444,-10.26983,-1.064
20240313_234012,-2.444,-10.26983,-1.064
20240313_234012,-2.444,-10.26983,-1.064
20240313_234012,-2.444,-10.26983,-1.064
20240313_234012,-2.444,-10.26983,-1.064
20240313_234012,-2.444,-10.26983,-1.064
20240313_234013,-2.444,-10.26983,-1.064
20240313_234013,-2.444,-10.26983,-1.064
20240313_234013,-2.444,-10.26983,-1.064
20240313_234013,-2.444,-10.26983,-1.064
